iter	RMSE
0	72404.85251
1	67874.1192
2	63793.8785
3	59785.14649
4	56214.5132
5	53147.97235
6	50224.53485
7	47935.01555
8	45505.12838
9	43486.13455
10	41578.69449
11	40030.77403
12	38147.20534
13	36720.58187
14	35557.28356
15	34375.64585
16	33144.65665
17	32306.27075
18	31343.89962
19	30629.69579
20	29841.27137
21	29080.03769
22	28587.06071
23	27931.58596
24	27401.61764
25	26856.0866
26	26310.80742
27	25869.40012
28	25511.5779
29	25071.92514
30	24606.5385
31	24226.48915
32	23883.96812
33	23661.96306
34	23373.28285
35	23177.0956
36	22791.20723
37	22534.18316
38	22218.71123
39	21993.61688
40	21731.46534
41	21533.90942
42	21253.28517
43	21101.81264
44	21043.70158
45	20780.70586
46	20551.9074
47	20340.02011
48	20130.77376
49	20039.89651
50	19904.72107
51	19822.03872
52	19662.96707
53	19453.55141
54	19366.30693
55	19248.51689
56	19099.07119
57	18978.51486
58	18773.06146
59	18603.2147
60	18507.90288
61	18371.54436
62	18245.3754
63	18064.96659
64	18016.40167
65	17950.54118
66	17905.2426
67	17801.87018
68	17741.8377
69	17635.25994
70	17585.50747
71	17526.56772
72	17391.661
73	17269.75698
74	17156.2385
75	17037.00179
76	17003.41954
77	16968.95344
78	16886.15665
79	16828.74423
80	16690.80237
81	16496.35213
82	16376.17393
83	16213.63638
84	16194.03805
85	16070.94713
86	15946.49342
87	15871.74281
88	15787.44984
89	15667.89691
90	15590.99357
91	15502.71264
92	15423.70194
93	15325.84637
94	15238.5729
95	15198.12521
96	15057.1474
97	14966.56303
98	14862.46685
99	14736.85456
100	14644.51068
101	14541.30502
102	14527.0113
103	14422.40112
104	14333.96176
105	14258.339
106	14159.63063
107	14147.96273
108	14137.74404
109	14041.49382
110	13959.61095
111	13903.2183
112	13778.78467
113	13705.298
114	13629.97423
115	13535.11281
116	13454.6687
117	13362.69109
118	13289.47437
119	13196.54678
120	13119.50266
121	13050.75466
122	12938.35609
123	12854.13698
124	12779.85751
125	12722.80076
126	12683.92918
127	12675.14199
128	12644.25386
129	12569.22639
130	12520.61435
131	12452.24756
132	12346.73871
133	12299.72023
134	12201.91577
135	12121.44635
136	12056.15774
137	11986.09356
138	11912.41658
139	11853.52935
140	11784.96735
141	11718.71704
142	11629.99742
143	11595.06122
144	11509.45946
145	11455.36599
146	11432.02556
147	11370.51749
148	11331.12131
149	11270.446
150	11213.7807
151	11168.92953
152	11162.01228
153	11095.40191
154	11052.33815
155	10966.29121
156	10883.42371
157	10828.49124
158	10822.97101
159	10769.71665
160	10711.58466
161	10667.86214
162	10594.54291
163	10590.61258
164	10536.72023
165	10479.34466
166	10421.32704
167	10357.81878
168	10310.56731
169	10281.55389
170	10239.08744
171	10187.08781
172	10139.04076
173	10090.35516
174	10057.76338
175	10018.98511
176	9966.314585
177	9898.537023
178	9862.478368
179	9822.486903
180	9769.217661
181	9705.786255
182	9656.858606
183	9617.421181
184	9548.174397
185	9490.544175
186	9434.644936
187	9389.951704
188	9360.210054
189	9356.098496
190	9309.565767
191	9258.541718
192	9211.708359
193	9176.074739
194	9126.610858
195	9084.072224
196	9079.547164
197	9067.128665
198	9021.584478
199	8962.689603
200	8921.325799
201	8895.760468
202	8878.454586
203	8845.817111
204	8812.856427
205	8791.252204
206	8746.199848
207	8686.065059
208	8658.829844
209	8602.560421
210	8537.082677
211	8476.579425
212	8428.714761
213	8389.403997
214	8351.927467
215	8305.085447
216	8255.443073
217	8252.045774
218	8231.571306
219	8181.877979
220	8157.606267
221	8120.060841
222	8096.216274
223	8087.408976
224	8056.434224
225	8007.706982
226	7980.367818
227	7937.037416
228	7933.730191
229	7910.414461
230	7865.885134
231	7845.459314
232	7803.280228
233	7754.374777
234	7735.096248
235	7697.174973
236	7670.124902
237	7643.390788
238	7616.195929
239	7613.095026
240	7588.057917
241	7556.69306
242	7522.121778
243	7499.277064
244	7462.389203
245	7433.776573
246	7384.473716
247	7341.066459
248	7297.68482
249	7293.673473
250	7264.130092
251	7261.676901
252	7229.957119
253	7221.853561
254	7174.377701
255	7135.894261
256	7111.814102
257	7068.688005
258	7039.818281
259	7030.323335
260	7028.331351
261	6997.614304
262	6943.441913
263	6886.359371
264	6849.850967
265	6817.999138
266	6810.258776
267	6777.181313
268	6763.020539
269	6725.660636
270	6693.481231
271	6673.705775
272	6642.700813
273	6613.554852
274	6605.28503
275	6582.74095
276	6563.768861
277	6558.467751
278	6538.793602
279	6511.682796
280	6490.114347
281	6474.06113
282	6454.243628
283	6421.623247
284	6409.616205
285	6391.683162
286	6362.018666
287	6325.906406
288	6293.043063
289	6275.337841
290	6246.67957
291	6230.364279
292	6204.158461
293	6160.431488
294	6128.235567
295	6098.676439
296	6058.349041
297	6023.48194
298	5988.681651
299	5975.921746
